,Dice,JI,recall,precision,specificity
0064_20070305_3_062,0.9133433194417666,0.8405077112051317,0.9868281895971541,0.8500441696113075,0.9164089069448933
0064_20070305_3_072,0.9180553001042241,0.8485233119517668,0.9993059633762212,0.8490236545483411,0.890788286440817
0064_20070305_3_082,0.8281641944698189,0.7067237496597293,0.9978336827393431,0.7078097504151486,0.8317419538999501
0065_20070306_3_071,0.7966215310363319,0.6619875222816399,0.8135268346111719,0.7804045179931705,0.9839317290689629
0065_20070306_3_081,0.7478523334107268,0.597255701835713,0.9853166105842766,0.6026192703461178,0.9794867832687869
0065_20070306_3_196,0.7460570105628708,0.594968843757212,0.7633994669825289,0.7294850028296548,0.9577028581541457
0077_20070307_2_326,0.740491352276881,0.5879208162766543,0.966648249535386,0.6000935453695042,0.821478285077951
0077_20070307_2_296,0.5396675704349876,0.36955117855989666,0.9747338537970192,0.3731254075201043,0.8580096489932556
0083_20070312_3_073,0.7844053621940721,0.6452853095912586,0.8057099545224861,0.7641984184040259,0.9802797707322939
0083_20070312_3_083,0.7205106855398279,0.5631236442516269,0.8817934782608695,0.6091037071797278,0.9570707070707071
0083_20070312_3_063,0.7493570722057369,0.5991774754824423,0.8277972027972028,0.684495843874232,0.972766408784627
0085_20090116_2_293,0.3489836536265457,0.21137504446464567,0.988905325443787,0.21187750089140683,0.7409765625
0085_20090116_2_265,0.2956392467789891,0.17346048729429553,0.9996648793565683,0.17347057455222145,0.8391375700299927
0085_20090116_2_275,0.21065481712974266,0.11772732234472219,0.9940092165898617,0.11781091266590202,0.8166545586632764
0089_20070411_3_108,0.8127494649158327,0.6845644123952446,0.7905694350663965,0.8362099750029759,0.9800770277705383
0089_20070411_3_098,0.8814184148161152,0.7879786566227244,0.8543474561851284,0.9102610587382161,0.9857402126004667
0089_20070411_3_149,0.5450008318083513,0.3745712325634576,0.4634974533106961,0.6612838110617683,0.987999885576978
0113_20070501_3_088,0.569935691318328,0.39853850477796515,0.8825726141078838,0.4208547685001979,0.8493256460413878
0113_20070501_3_122,0.6412127489289582,0.47190076917746515,0.7373321784322218,0.5672636401499376,0.913938771453184
0173_20080220_3_149,0.8189843182054212,0.6934576151952163,0.7593400950057774,0.88879705462469,0.9750866915799751
0173_20080220_3_139,0.8619949727177978,0.7574614804439177,0.7940811024511465,0.9426119603110753,0.9937352713008094
0173_20080220_3_167,0.5080618624547548,0.34053815615350685,0.36471005078540214,0.8370832203849282,0.9742093292709093
0194_20090212_3_080,0.9087730543981819,0.8327993164584001,0.9870253164556962,0.8420171696992603,0.9573767626150799
0194_20090212_3_090,0.8866147437058504,0.7963234097933951,0.9877581220152014,0.8042609124267485,0.9474079197139368
0194_20090212_3_070,0.9065928634970841,0.8291448201048635,0.9554166666666667,0.862516456648486,0.9801964104300711
0226_20070524_3_095,0.7571243028497211,0.6091713793951316,0.6641200911405978,0.8804193319118693,0.9934131326279937
0226_20070524_3_105,0.7355488418932528,0.5817139216310927,0.6835111360658805,0.7961630695443646,0.9907052110463844
0226_20070524_3_115,0.7638241592140068,0.6178928061952313,0.6761819803746655,0.8775687409551375,0.9912857172287345
0228_20070529_3_081,0.9066776511510825,0.8292866711319491,0.9559888041694817,0.8622040389972145,0.982186262153403
