,Dice,JI,recall,precision,specificity
0035_20070322_3_156,0.9232486742952832,0.8574390876101607,0.9851805965882017,0.8686427326008865,0.858157154523183
0035_20070322_3_252,0.8789155080536811,0.7839868576968653,0.9834132828862915,0.7944925083922382,0.7185677978771117
0035_20070322_3_255,0.890309475445095,0.8023042963282007,0.9878032613018692,0.810331702011963,0.7265707678438443
0053_20070905_3_281,0.18070467847590993,0.09932674279870463,0.650935492879084,0.10491493383742911,0.6407695086705202
0081_20070312_2_382,0.4119012948167972,0.2593675654242665,0.9271793054571226,0.26476094105742476,0.7293350717079531
0093_20070313_3_282,0.7779849007363221,0.6366409884829533,0.9756867329047341,0.6469038208168643,0.8597506541480684
0105_20070319_3_258,0.9559594863447278,0.9156344737981811,0.9966060148958236,0.9184985663393865,0.8733060195398676
0120_20070323_2_240,0.6757379567650609,0.5102751077229035,0.9795334040296925,0.5157741917471662,0.8050403543085812
0120_20070323_2_260,0.7691988950276243,0.6249579171810122,0.9846761360287617,0.6310958334907264,0.6414172939232605
0123_20070323_3_247,0.8796670828131502,0.7851836443599192,0.9606267723405802,0.811292947281157,0.7859953340993767
0124_20070323_4_373,0.5346329426280074,0.36484574969688804,0.4353749698577285,0.6925142236143962,0.9241109463254552
0124_20070323_4_463,0.5996133009169745,0.42817694663167105,0.8443042751630816,0.4648836380907148,0.7632107814162431
0132_20070327_3_269,0.9482344960996872,0.9015645527290099,0.9960941623561702,0.9047630462401419,0.8598490193311698
0132_20070327_3_273,0.9402859979626836,0.8873016645575781,0.9930818466566799,0.8928204123610363,0.8379008962299089
0136_20070329_3_219,0.6872962535733989,0.5235730113853443,0.9676599350374241,0.5328978068128791,0.6917470745226852
0142_20070330_3_252,0.8368684759916493,0.7194959974153714,0.9991774470948926,0.7199224151865089,0.6361833663828298
0153_20070807_5_228,0.9311391444560372,0.8711509450705475,0.9487040723632076,0.914212810340653,0.8866243292472801
0162_20070501_4_221,0.9579960533204462,0.9193785267063461,0.976639159173954,0.940051373246394,0.9222370309616568
0162_20070501_4_131,0.5186736831349308,0.35014140856728976,0.761647535449021,0.3932292675368943,0.754977867454992
0163_20070801_3_216,0.7344516594516595,0.5803426356147202,0.8826411167952831,0.6288688453697412,0.7971158879451546
0163_20070801_3_261,0.8192199711662493,0.6937955852584905,0.885467071270401,0.7621955524179316,0.7874897482808656
0165_20070502_3_238,0.8607594936708861,0.7555555555555555,0.9721559268098647,0.772267657992565,0.7117583399990589
0172_20070507_2_607,0.7328699106256207,0.5783699059561128,0.991740412979351,0.5811693300553166,0.6905633602951611
0193_20070511_2_396,0.9011366816358621,0.8200625742766365,0.9991725768321513,0.8206198577773464,0.7446977547495682
